Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,redblue,Zone of Interest,,,STATE,347.240,349.720,2.480,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,blue,Zone of Interest,,,STATE,349.900,481.100,131.200,,
B7_2_B_novel_RA,2024-07-14 15:15:28,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B7_2_B_novel.mov,692.380,24.0,red,Zone of Interest,,,STATE,352.583,418.958,66.375,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,redblue,Zone of Interest,,,STATE,353.600,354.000,0.400,,
B5_3_RR_BY_control_RA,2024-07-14 12:24:45,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B5_3_RR_BY_control.mov,952.000,25.0,No focal subject,Test arena entry,,,POINT,357.160,357.160,NA,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,redblack,Zone of Interest,,,STATE,357.567,474.400,116.833,,
B5_3_RR_BY_control_RA,2024-07-14 12:24:45,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B5_3_RR_BY_control.mov,952.000,25.0,No focal subject,Zone of Interest,,,STATE,363.280,515.360,152.080,,
B5_3_RR_BY_control_RA,2024-07-14 12:24:45,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B5_3_RR_BY_control.mov,952.000,25.0,No focal subject,Eating,,,POINT,363.760,363.760,NA,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,black,Zone of Interest,,,STATE,364.640,374.000,9.360,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,redblue,Zone of Interest,,,STATE,371.000,377.520,6.520,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,black,Zone of Interest,,,STATE,374.720,457.120,82.400,,
B6_8_GR_BB_novel_RA,2024-07-18 09:38:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_GR_BB_novel.mov,773.600,30.0,No focal subject,Zone of Interest,,,STATE,381.433,392.200,10.767,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Zone of Interest,,,STATE,382.720,443.440,60.720,,
B6_8_GR_BB_novel_RA,2024-07-18 09:38:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_GR_BB_novel.mov,773.600,30.0,No focal subject,Eating,,,POINT,385.033,385.033,NA,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,red,Zone of Interest,,,STATE,385.867,425.967,40.100,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,black,Zone of Interest,,,STATE,389.900,513.100,123.200,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,redblue,Zone of Interest,,,STATE,390.960,444.640,53.680,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,blue,Zone of Interest,,,STATE,393.440,618.920,225.480,,
B7_2_B_novel_RA,2024-07-14 15:15:28,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B7_2_B_novel.mov,692.380,24.0,blue,Zone of Interest,,,STATE,396.292,412.792,16.500,,
