Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B4_5_B_novel_SK,2024-07-13 10:37:35,,/Volumes/T7/3_7/cut/B4_5_B_novel.mov,648.530,30.0,redblue,Zone of Interest,,,STATE,37.067,47.833,10.766,,
B3_7_PY_BP_novel_SK,2024-07-12 20:40:40,,/Volumes/T7/2_7/cut/B3_7_PY_BP_novel.mov,719.800,30.0,No focal subject,Trial start,,,POINT,37.100,37.100,NA,,
B8_7_A_control_SK,2024-07-19 13:33:47,,/Volumes/Extreme SSD/NEO_Gull 2024/19_7/B8_B9/cut/B8_7_A_control.mp4,640.810,30.0,red,Zone of Interest,,,STATE,37.133,42.900,5.767,,
B3_3_PY_BP_novel_SK,2024-06-28 20:20:38,,/Volumes/T7/28_6/cut/B3_3_PY_BP_novel.mp4,722.300,30.0,No focal subject,Test arena entry,,,POINT,37.467,37.467,NA,,
B8_3_B_control_SK,2024-07-15 14:24:54,,/Volumes/T7/15_7/cut/B8_3_B_control.mp4,689.770,30.0,blue,Zone of Interest,,,STATE,37.600,97.333,59.733,,
B4_6_BB_BP_novel_SK,2024-07-11 11:02:04,,/Volumes/T7/4_7/cut/B4_6_BB_BP_novel.mp4,655.250,25.0,No focal subject,Eating,,,POINT,37.840,37.840,NA,,
B3_3_GR_GP_novel_SK,2024-06-28 20:22:36,,/Volumes/T7/28_6/cut/B3_3_GR_GP_novel.mp4,721.170,30.0,No focal subject,Trial start,,,POINT,37.867,37.867,NA,,
B7_6_A_novel_SK,2024-07-15 14:23:57,,/Volumes/T7/15_7/cut/B7_6_A_novel.mp4,642.670,30.0,blue,Zone of Interest,,,STATE,38.067,143.733,105.666,,
B2_8_YY_PP_novel_SK,2024-07-13 08:51:33,,/Volumes/T7/3_7/cut/B2_8_YY_PP_novel.mov,683.570,30.0,No focal subject,Test arena entry,,,POINT,38.233,38.233,NA,,
B4_6_PP_GY_novel_SK,2024-07-11 11:03:34,,/Volumes/T7/4_7/cut/B4_6_PP_GY_novel.MP4,705.540,25.0,No focal subject,Zone of Interest,,,STATE,38.280,52.400,14.120,,
